SET IDENTITY_INSERT [dbo].[shedule] ON
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (1, N'2023-09-01 00:00:00', N'Я', 8, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (19, N'2023-09-04 00:00:00', N'Я', 8, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (20, N'2023-09-04 00:00:00', N'Я', 8, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (21, N'2023-09-04 00:00:00', N'Я', 8, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (22, N'2023-09-04 00:00:00', N'Я', 8, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (23, N'2023-09-04 00:00:00', N'Я', 8, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (24, N'2023-09-04 00:00:00', N'Я', 8, 6)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (25, N'2023-09-05 00:00:00', N'Я', 8, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (26, N'2023-09-05 00:00:00', N'Я', 8, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (27, N'2023-09-05 00:00:00', N'Я', 8, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (28, N'2023-09-05 00:00:00', N'Я', 8, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (29, N'2023-09-05 00:00:00', N'Я', 8, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (30, N'2023-09-05 00:00:00', N'Я', 8, 6)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (31, N'2023-09-06 00:00:00', N'Я', 8, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (32, N'2023-09-06 00:00:00', N'Я', 8, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (33, N'2023-09-06 00:00:00', N'Я', 8, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (34, N'2023-09-06 00:00:00', N'Я', 8, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (35, N'2023-09-06 00:00:00', N'Я', 8, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (36, N'2023-09-06 00:00:00', N'Я', 8, 6)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (37, N'2023-09-07 00:00:00', N'Я', 8, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (38, N'2023-09-07 00:00:00', N'Я', 8, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (39, N'2023-09-07 00:00:00', N'Я', 8, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (40, N'2023-09-07 00:00:00', N'Я', 8, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (41, N'2023-09-07 00:00:00', N'Я', 8, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (42, N'2023-09-07 00:00:00', N'Я', 8, 6)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (43, N'2023-09-08 00:00:00', N'Я', 8, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (44, N'2023-09-08 00:00:00', N'Я', 8, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (45, N'2023-09-08 00:00:00', N'Я', 8, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (46, N'2023-09-08 00:00:00', N'Я', 8, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (47, N'2023-09-08 00:00:00', N'Я', 8, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (48, N'2023-09-08 00:00:00', N'Я', 8, 6)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (49, N'2023-09-09 00:00:00', N'В', 0, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (50, N'2023-09-09 00:00:00', N'В', 0, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (51, N'2023-09-09 00:00:00', N'В', 0, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (52, N'2023-09-09 00:00:00', N'В', 0, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (53, N'2023-09-09 00:00:00', N'В', 0, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (54, N'2023-09-09 00:00:00', N'В', 0, 6)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (55, N'2023-09-10 00:00:00', N'В', 0, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (56, N'2023-09-10 00:00:00', N'В', 0, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (57, N'2023-09-10 00:00:00', N'В', 0, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (58, N'2023-09-10 00:00:00', N'В', 0, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (59, N'2023-09-10 00:00:00', N'В', 0, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (60, N'2023-09-10 00:00:00', N'В', 0, 6)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (61, N'2023-09-11 00:00:00', N'Я', 8, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (62, N'2023-09-11 00:00:00', N'Я', 8, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (63, N'2023-09-11 00:00:00', N'Я', 8, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (64, N'2023-09-11 00:00:00', N'Я', 8, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (65, N'2023-09-11 00:00:00', N'Я', 8, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (66, N'2023-09-11 00:00:00', N'Я', 8, 6)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (67, N'2023-09-12 00:00:00', N'Я', 8, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (68, N'2023-09-12 00:00:00', N'Я', 8, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (69, N'2023-09-12 00:00:00', N'Я', 8, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (70, N'2023-09-12 00:00:00', N'Я', 8, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (71, N'2023-09-12 00:00:00', N'Я', 8, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (72, N'2023-09-12 00:00:00', N'Я', 8, 6)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (73, N'2023-09-13 00:00:00', N'Я', 8, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (74, N'2023-09-13 00:00:00', N'Я', 8, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (75, N'2023-09-13 00:00:00', N'Я', 8, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (76, N'2023-09-13 00:00:00', N'Я', 8, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (77, N'2023-09-13 00:00:00', N'Я', 8, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (78, N'2023-09-13 00:00:00', N'Я', 8, 6)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (79, N'2023-09-14 00:00:00', N'Я', 8, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (80, N'2023-09-14 00:00:00', N'Я', 8, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (81, N'2023-09-14 00:00:00', N'Я', 8, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (82, N'2023-09-14 00:00:00', N'Я', 8, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (83, N'2023-09-14 00:00:00', N'Я', 8, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (84, N'2023-09-14 00:00:00', N'Я', 8, 6)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (85, N'2023-09-15 00:00:00', N'Я', 8, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (86, N'2023-09-15 00:00:00', N'Я', 8, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (87, N'2023-09-15 00:00:00', N'Я', 8, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (88, N'2023-09-15 00:00:00', N'Я', 8, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (89, N'2023-09-15 00:00:00', N'Я', 8, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (90, N'2023-09-15 00:00:00', N'Я', 8, 6)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (91, N'2023-09-16 00:00:00', N'В', 0, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (92, N'2023-09-16 00:00:00', N'В', 0, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (93, N'2023-09-16 00:00:00', N'В', 0, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (94, N'2023-09-16 00:00:00', N'В', 0, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (95, N'2023-09-16 00:00:00', N'В', 0, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (96, N'2023-09-16 00:00:00', N'В', 0, 6)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (97, N'2023-09-17 00:00:00', N'В', 0, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (98, N'2023-09-17 00:00:00', N'В', 0, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (99, N'2023-09-17 00:00:00', N'В', 0, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (100, N'2023-09-17 00:00:00', N'В', 0, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (101, N'2023-09-17 00:00:00', N'В', 0, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (102, N'2023-09-17 00:00:00', N'В', 0, 6)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (103, N'2023-09-18 00:00:00', N'Я', 8, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (104, N'2023-09-18 00:00:00', N'Я', 8, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (105, N'2023-09-18 00:00:00', N'Я', 8, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (106, N'2023-09-18 00:00:00', N'Я', 8, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (107, N'2023-09-18 00:00:00', N'Я', 8, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (108, N'2023-09-18 00:00:00', N'Я', 8, 6)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (109, N'2023-09-19 00:00:00', N'Я', 8, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (110, N'2023-09-19 00:00:00', N'Я', 8, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (111, N'2023-09-19 00:00:00', N'Я', 8, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (112, N'2023-09-19 00:00:00', N'Я', 8, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (113, N'2023-09-19 00:00:00', N'Я', 8, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (114, N'2023-09-19 00:00:00', N'Я', 8, 6)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (115, N'2023-09-20 00:00:00', N'Я', 8, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (116, N'2023-09-20 00:00:00', N'Я', 8, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (117, N'2023-09-20 00:00:00', N'Я', 8, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (118, N'2023-09-20 00:00:00', N'Я', 8, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (119, N'2023-09-20 00:00:00', N'Я', 8, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (120, N'2023-09-20 00:00:00', N'Я', 8, 6)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (121, N'2023-09-21 00:00:00', N'Я', 8, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (122, N'2023-09-21 00:00:00', N'Я', 8, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (123, N'2023-09-21 00:00:00', N'Я', 8, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (124, N'2023-09-21 00:00:00', N'Я', 8, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (125, N'2023-09-21 00:00:00', N'Я', 8, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (126, N'2023-09-21 00:00:00', N'Я', 8, 6)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (127, N'2023-09-22 00:00:00', N'Я', 8, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (128, N'2023-09-22 00:00:00', N'Я', 8, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (129, N'2023-09-22 00:00:00', N'Я', 8, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (130, N'2023-09-22 00:00:00', N'Я', 8, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (131, N'2023-09-22 00:00:00', N'Я', 8, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (132, N'2023-09-22 00:00:00', N'Я', 8, 6)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (133, N'2023-09-23 00:00:00', N'В', 0, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (134, N'2023-09-23 00:00:00', N'В', 0, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (135, N'2023-09-23 00:00:00', N'В', 0, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (136, N'2023-09-23 00:00:00', N'В', 0, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (137, N'2023-09-23 00:00:00', N'В', 0, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (138, N'2023-09-23 00:00:00', N'В', 0, 6)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (139, N'2023-09-24 00:00:00', N'В', 0, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (140, N'2023-09-24 00:00:00', N'В', 0, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (141, N'2023-09-24 00:00:00', N'В', 0, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (142, N'2023-09-24 00:00:00', N'В', 0, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (143, N'2023-09-24 00:00:00', N'В', 0, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (144, N'2023-09-24 00:00:00', N'В', 0, 6)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (145, N'2023-09-25 00:00:00', N'Я', 8, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (146, N'2023-09-25 00:00:00', N'Я', 8, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (147, N'2023-09-25 00:00:00', N'Я', 8, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (148, N'2023-09-25 00:00:00', N'Я', 8, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (149, N'2023-09-25 00:00:00', N'Я', 8, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (150, N'2023-09-25 00:00:00', N'Я', 8, 6)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (151, N'2023-09-26 00:00:00', N'Я', 8, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (152, N'2023-09-26 00:00:00', N'Я', 8, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (153, N'2023-09-26 00:00:00', N'Я', 8, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (154, N'2023-09-26 00:00:00', N'Я', 8, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (155, N'2023-09-26 00:00:00', N'Я', 8, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (156, N'2023-09-26 00:00:00', N'Я', 8, 6)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (157, N'2023-09-27 00:00:00', N'Я', 8, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (158, N'2023-09-27 00:00:00', N'Я', 8, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (159, N'2023-09-27 00:00:00', N'Я', 8, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (160, N'2023-09-27 00:00:00', N'Я', 8, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (161, N'2023-09-27 00:00:00', N'Я', 8, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (162, N'2023-09-27 00:00:00', N'Я', 8, 6)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (163, N'2023-09-28 00:00:00', N'Я', 8, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (164, N'2023-09-28 00:00:00', N'Я', 8, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (165, N'2023-09-28 00:00:00', N'Я', 8, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (166, N'2023-09-28 00:00:00', N'Я', 8, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (167, N'2023-09-28 00:00:00', N'Я', 8, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (168, N'2023-09-28 00:00:00', N'Я', 8, 6)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (169, N'2023-09-29 00:00:00', N'Я', 8, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (170, N'2023-09-29 00:00:00', N'Я', 8, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (171, N'2023-09-29 00:00:00', N'Я', 8, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (172, N'2023-09-29 00:00:00', N'Я', 8, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (173, N'2023-09-29 00:00:00', N'Я', 8, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (174, N'2023-09-29 00:00:00', N'Я', 8, 6)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (175, N'2023-09-30 00:00:00', N'В', 0, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (176, N'2023-09-30 00:00:00', N'В', 0, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (177, N'2023-09-30 00:00:00', N'В', 0, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (178, N'2023-09-30 00:00:00', N'В', 0, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (179, N'2023-09-30 00:00:00', N'В', 0, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (180, N'2023-09-30 00:00:00', N'В', 0, 6)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (181, N'2023-10-01 00:00:00', N'В', 0, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (182, N'2023-10-01 00:00:00', N'В', 0, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (183, N'2023-10-01 00:00:00', N'В', 0, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (184, N'2023-10-01 00:00:00', N'В', 0, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (185, N'2023-10-01 00:00:00', N'В', 0, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (186, N'2023-10-01 00:00:00', N'В', 0, 6)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (187, N'2023-10-02 00:00:00', N'Я', 8, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (188, N'2023-10-02 00:00:00', N'Я', 8, 2)
